review,sentiment
awal saya terima barang dan coba senin lima agustus sembilan belas laptop kena masalah di kipas masalah persis seperti di salah satu thread forum msi saya tidak bisa kirim url di ulas saya langsung tanya ini ke seler dan oficial page msi langsung lima hari lalu dan tidak ada jawab sama sekali ini kali pertama saya laku baik ini oleh seler jangan salah paham laptop msi bagus kok mungkin lebih bagus dari produk yang lain dengan harga yang sama jika anda ingin beli sila saja tapi jika ada masalah di laptop seperti yang saya alami moga untung,0
emas bagus barang sampai dengan aman,1
ofice tertawa fre trail reboting sangat lambat dan buka aplikasi bawan lama padahal laptop baru saran saja biar tidak lambat jangan aktifin cloud box atau one drive atau segala tentang back up aktivitas windows dan program auto start up baik rangin lewat msconfig tidak tampil semua pakai apa cleaner baru bisa klihatan start up trnyata banyak biar boting tidak lama hasil jadi rasa beneran laptop baru bonus juga dapat tas dan stylus backlight keyboard oke,1
kirim sangat cepat dan produk sesuai terima kasih juragan,1
oke mantap,1
barang oke,1
kardus agak penyok untung isi aman terima kasih,1
laptop bagus rekomendasi buat uc technologi,1
mantap terima kasih,1
cepat respon kirim cepat emas rapi exceclent,1
mantap lancar jaya mesen jumat sabtu sampai minta upgrade spesifikasi gapake lama barang mulus emas rapi atas pokok,1
kemarin saya sudah kasih bintang lima stlah saya coba pakai hari laptop sudah beratatau lambat hari ini saya mau coba instl ofice dak bisa karena sudah lambat duluan dak bisa nyelesaikan sampai sore dak selesai pasang ofice mohon solusi dari seler,0
luar biasa laptop mantap jasa kirim cepat hari saja emas rapi dan aman barang datang dhnkeadan sangat baik lebih expetasi bahkan,1
kok ngak dapat tasatau bag iya,1
sangat baik,1
bagus emas rapi dan aman hanya kirim saja agak lama,1
laptop ini bagus slim dan enteng performa juga bagus belum buka aplikasi berat sih tapi waktu buka file foto cepat sekali ngak mau kalah sama komputer kantor yang itujuh ram enam belas gb besok coba buat edit foto ngomong-ngomong untuk slot sd kartu hanya bisa micro sd jadi buat fotografer yang pakai sd kartu harus beli adapter lagi esel kirim cepat sekali tidak sampai empat jam dalam kota jakarta emas pakai buble meski box sempat penyok dikit tapi untung di bagi bawah jual mesti wanti wanti ke kurir untuk lebih hati hati,1
asli emas bagus,1
barang mantap sesuai harap dan tidak ragu lagi,1
mantap barang sesuai pesan,1
barang bagus,1
produk mantap,1
terima kasih paket sudah terima sesuai dengan pesan emas bagus namun kalau boleh saran sat emas mohon guna emas dari kayu supaya sat proses kirim hindar dari ke khawatir bentur,1
barang datang tepat waktu tapi tidak bisa di charge bagaimana solusi ini mohon pertangung jawab,0
barang terima sesuai pesan mantap lazada terima kasih,1
lumayan tapi sayang lambat dan belum download aplikasi baterai cepat habis,0
tampa sidik jari tampa pen tampa led harga tidak pernah bohong sesuia dengan anka terima kasih,1
keren habis harga murah kualitas nomor murah,1
emas rapi dan kirim sangat cepat,1
kirim cepat moga umur lama,1
memang gambar tapi belum di coba,1
dari barang sih oke hanya emas yalord biasa aku beli barang kayak begini sama yang jual itu kasih safety kayu tapi ini hanya bublewrap yang kecil mudah mudah dalam tidak kenapa kenapa,0
cara seluruh build bagus kukuh hanya kaget saja pas sampai kok tujuh belas tujuh belas kira lima belas lima belas v buat harga kaya susah nemu laptop lain dengan spesifikasi sama dan yang paling tara itu built in speakers tidak sangka bisa denger bass yang lumayan jernih dan dentum untuk kelas speaker laptop apalagi kalau ditaro di atas meja kayu iya ini speaker ada di bawah keyboard hadap ke meja performa sih iya sesuai spesifikasi kalau pun ada kurang iya di baterai untuk spesifikasi agak sangar begini memang tidak bakal bisa dipake main game ful tenaga kalau tidak colok ada bonus backpack juga dan meski bonus ini backpack serius bisa muat macam sampai tablet segala di luar laptop sama kabel plus adaptor kalau perlu bawa laptop coler tujuh belas tujuh belas juga hayuk bahan juga bagus pading cukup ada tiga kantong dengan ziper di luar dan ada tempat botol minum yang adjustable juga,1
i belum t login to activated this netbok because ned pasword i ned help untuk this masalah,0
oke ok,1
keren saudara laki,1
cuma kabel tenaga kurang bagus,1
barang kondisi oke respon cepat dan sangat baik,1
barang sampai tepat waktu sesuai target lazada barang sesuai spekyg ada sayang masih kosong belum ada windows tapi stil oke great lazada,1
layan sangat bagus barang sesuai dengan yang pes dan kirim cepat sekali pesan jumat malam sabtu sore sudah sampai mantap,1
barang sampai lebih cepat dan dalam kondisi sangat baik sudah di test dan jauh ini puas dengan performa,1
bonus bohong tidak ada,0
